frame_index,unix_ms,read_ms,is_dup,x0_mv,y0_mv,r_mv,theta_deg,noise_mv,pll_a,pll_b,overload_a,overload_b
0,1780759680471,14.833,0,-2.950608e-7,-6.070940e-7,6.749993e-7,-115.921,9.145415e-7,0,0,0,0
1,1780759680522,14.486,0,-2.702776e-7,-5.911484e-7,6.500050e-7,-114.570,9.143245e-7,0,0,0,0
2,1780759680574,14.215,0,-2.628040e-7,-5.824119e-7,6.389597e-7,-114.287,9.141372e-7,0,0,0,0
3,1780759680625,14.426,0,-2.564630e-7,-5.575111e-7,6.136708e-7,-114.703,9.139116e-7,0,0,0,0
4,1780759680675,11.972,0,-2.634375e-7,-5.315249e-7,5.932268e-7,-116.364,9.137452e-7,0,0,0,0
5,1780759680724,14.188,0,-2.716567e-7,-5.016866e-7,5.705145e-7,-118.435,9.134913e-7,0,0,0,0
6,1780759680774,14.515,0,-2.825664e-7,-4.695757e-7,5.480375e-7,-121.037,9.132562e-7,0,0,0,0
7,1780759680825,12.010,0,-3.097340e-7,-4.466351e-7,5.435238e-7,-124.741,9.129765e-7,0,0,0,0
8,1780759680874,14.059,0,-3.310444e-7,-4.142490e-7,5.302760e-7,-128.630,9.125167e-7,0,0,0,0
9,1780759680924,12.068,0,-3.654842e-7,-3.957227e-7,5.386791e-7,-132.725,9.121057e-7,0,0,0,0
10,1780759680974,13.232,0,-3.924077e-7,-3.677827e-7,5.378178e-7,-136.855,9.114622e-7,0,0,0,0
11,1780759681023,11.873,0,-4.211406e-7,-3.573938e-7,5.523493e-7,-139.681,9.109044e-7,0,0,0,0
12,1780759681073,13.221,0,-4.474492e-7,-3.596549e-7,5.740753e-7,-141.208,9.102823e-7,0,0,0,0
13,1780759681122,12.253,0,-4.618828e-7,-3.633041e-7,5.876441e-7,-141.812,9.093575e-7,0,0,0,0
14,1780759681172,13.257,0,-4.805453e-7,-3.870963e-7,6.170635e-7,-141.147,9.086082e-7,0,0,0,0
15,1780759681220,12.978,0,-4.866010e-7,-4.048733e-7,6.330110e-7,-140.238,9.075616e-7,0,0,0,0
16,1780759681271,13.239,0,-4.943321e-7,-4.369282e-7,6.597503e-7,-138.527,9.067477e-7,0,0,0,0
17,1780759681322,13.307,0,-4.916242e-7,-4.653017e-7,6.769047e-7,-136.576,9.056257e-7,0,0,0,0
18,1780759681373,13.251,0,-4.828131e-7,-4.967491e-7,6.927251e-7,-134.185,9.047651e-7,0,0,0,0
19,1780759681424,13.352,0,-4.677818e-7,-5.270866e-7,7.047270e-7,-131.589,9.039001e-7,0,0,0,0
20,1780759681474,13.983,0,-4.352066e-7,-5.466727e-7,6.987531e-7,-128.523,9.027585e-7,0,0,0,0
21,1780759681524,12.341,0,-4.142875e-7,-5.798823e-7,7.126693e-7,-125.543,9.019247e-7,0,0,0,0
22,1780759681573,14.344,0,-3.830527e-7,-5.979881e-7,7.101543e-7,-122.642,9.008544e-7,0,0,0,0
