frame_index,unix_ms,read_us,is_dup,pll_a,pll_b,overload_a,overload_b
0,1780760313736,12067,0,0,0,0,0
1,1780760313785,14240,0,0,0,0,0
2,1780760313835,14518,0,0,0,0,0
3,1780760313884,13913,0,0,0,0,0
4,1780760313933,12569,1,0,0,0,0
5,1780760313984,13295,0,0,0,0,0
6,1780760314035,13320,0,0,0,0,0
7,1780760314086,13293,0,0,0,0,0
8,1780760314135,12157,0,0,0,0,0
9,1780760314185,13293,0,0,0,0,0
10,1780760314236,13232,0,0,0,0,0
11,1780760314286,13817,0,0,0,0,0
12,1780760314336,14532,0,0,0,0,0
13,1780760314386,12499,0,0,0,0,0
14,1780760314436,13412,0,0,0,0,0
15,1780760314488,13186,0,0,0,0,0
16,1780760314537,12261,0,0,0,0,0
17,1780760314587,13249,0,0,0,0,0
18,1780760314636,14578,0,0,0,0,0
19,1780760314687,14583,0,0,0,0,0
20,1780760314738,14455,0,0,0,0,0
21,1780760314789,14523,0,0,0,0,0
22,1780760314838,13587,0,0,0,0,0
23,1780760314888,12275,0,0,0,0,0
24,1780760314936,14598,0,0,0,0,0
25,1780760314985,13511,0,0,0,0,0
26,1780760315036,13507,0,0,0,0,0
27,1780760315088,13312,0,0,0,0,0
28,1780760315139,13232,0,0,0,0,0
29,1780760315190,13263,0,0,0,0,0
30,1780760315241,13318,0,0,0,0,0
31,1780760315289,12690,0,0,0,0,0
32,1780760315340,13224,0,0,0,0,0
33,1780760315389,11678,0,0,0,0,0
34,1780760315438,14238,0,0,0,0,0
35,1780760315487,12361,0,0,0,0,0
36,1780760315538,13294,0,0,0,0,0
37,1780760315587,12270,0,0,0,0,0
38,1780760315636,13503,0,0,0,0,0
39,1780760315685,12364,0,0,0,0,0
40,1780760315734,14401,0,0,0,0,0
41,1780760315785,11797,0,0,0,0,0
42,1780760315835,13222,0,0,0,0,0
43,1780760315883,12676,1,0,0,0,0
44,1780760315933,13660,0,0,0,0,0
45,1780760315983,14509,0,0,0,0,0
46,1780760316034,14520,0,0,0,0,0
47,1780760316085,11858,0,0,0,0,0
48,1780760316135,12715,0,0,0,0,0
49,1780760316185,13351,0,0,0,0,0
50,1780760316236,13616,0,0,0,0,0
51,1780760316286,14440,0,0,0,0,0
52,1780760316338,14070,0,0,0,0,0
53,1780760316389,13928,0,0,0,0,0
54,1780760316438,12933,0,0,0,0,0
55,1780760316486,12595,0,0,0,0,0
56,1780760316536,13554,0,0,0,0,0
57,1780760316587,13894,0,0,0,0,0
58,1780760316639,13232,0,0,0,0,0
59,1780760316688,12146,0,0,0,0,0
60,1780760316738,13366,0,0,0,0,0
61,1780760316786,13257,0,0,0,0,0
62,1780760316836,13688,0,0,0,0,0
63,1780760316886,12027,0,0,0,0,0
64,1780760316935,14112,0,0,0,0,0
65,1780760316985,11869,0,0,0,0,0
66,1780760317033,14389,0,0,0,0,0
67,1780760317084,14459,0,0,0,0,0
68,1780760317134,12602,0,0,0,0,0
69,1780760317183,14478,0,0,0,0,0
70,1780760317234,14479,0,0,0,0,0
71,1780760317285,14502,0,0,0,0,0
72,1780760317336,11715,0,0,0,0,0
73,1780760317386,13343,0,0,0,0,0
74,1780760317437,13231,0,0,0,0,0
75,1780760317488,13310,0,0,0,0,0
76,1780760317536,12720,0,0,0,0,0
77,1780760317586,13470,0,0,0,0,0
78,1780760317638,13358,0,0,0,0,0
79,1780760317686,12558,0,0,0,0,0
80,1780760317735,14513,0,0,0,0,0
81,1780760317786,12163,0,0,0,0,0
82,1780760317835,14107,0,0,0,0,0
83,1780760317885,14529,0,0,0,0,0
84,1780760317935,12888,0,0,0,0,0
85,1780760317983,12376,1,0,0,0,0
86,1780760318034,13311,0,0,0,0,0
87,1780760318082,12691,1,0,0,0,0
88,1780760318131,11702,0,0,0,0,0
89,1780760318181,13238,0,0,0,0,0
90,1780760318231,13672,0,0,0,0,0
91,1780760318283,13299,0,0,0,0,0
92,1780760318332,14678,0,0,0,0,0
93,1780760318382,12364,1,0,0,0,0
94,1780760318431,14662,0,0,0,0,0
95,1780760318482,14441,0,0,0,0,0
96,1780760318534,14051,0,0,0,0,0
97,1780760318584,14559,0,0,0,0,0
98,1780760318635,14533,0,0,0,0,0
99,1780760318686,14516,0,0,0,0,0
100,1780760318736,12493,0,0,0,0,0
101,1780760318786,13508,0,0,0,0,0
102,1780760318838,13301,0,0,0,0,0
103,1780760318886,12439,0,0,0,0,0
104,1780760318936,14242,0,0,0,0,0
105,1780760318986,14425,0,0,0,0,0
106,1780760319036,12580,0,0,0,0,0
107,1780760319087,13200,0,0,0,0,0
108,1780760319136,11686,0,0,0,0,0
109,1780760319186,13342,0,0,0,0,0
110,1780760319237,13339,0,0,0,0,0
111,1780760319285,12654,0,0,0,0,0
112,1780760319335,14054,0,0,0,0,0
113,1780760319383,13409,0,0,0,0,0
114,1780760319435,13298,0,0,0,0,0
115,1780760319486,13256,0,0,0,0,0
116,1780760319536,13443,0,0,0,0,0
117,1780760319585,12609,0,0,0,0,0
118,1780760319636,13291,0,0,0,0,0
119,1780760319685,12001,0,0,0,0,0
120,1780760319734,14170,0,0,0,0,0
121,1780760319784,11878,1,0,0,0,0
122,1780760319834,13347,0,0,0,0,0
123,1780760319883,12175,1,0,0,0,0
124,1780760319933,13348,0,0,0,0,0
125,1780760319984,13239,0,0,0,0,0
126,1780760320033,14308,0,0,0,0,0
127,1780760320083,12786,1,0,0,0,0
128,1780760320132,12166,0,0,0,0,0
129,1780760320181,13330,0,0,0,0,0
130,1780760320232,13316,0,0,0,0,0
131,1780760320282,12275,0,0,0,0,0
132,1780760320331,13616,0,0,0,0,0
133,1780760320382,13673,0,0,0,0,0
134,1780760320432,11706,0,0,0,0,0
135,1780760320482,12841,0,0,0,0,0
136,1780760320533,13307,0,0,0,0,0
137,1780760320582,14442,0,0,0,0,0
138,1780760320633,14527,0,0,0,0,0
139,1780760320684,14572,0,0,0,0,0
140,1780760320736,14307,0,0,0,0,0
141,1780760320786,11971,0,0,0,0,0
142,1780760320834,14423,0,0,0,0,0
143,1780760320883,13426,0,0,0,0,0
144,1780760320932,13267,1,0,0,0,0
145,1780760320982,13744,0,0,0,0,0
146,1780760321031,12679,0,0,0,0,0
147,1780760321079,12456,0,0,0,0,0
148,1780760321129,14194,0,0,0,0,0
149,1780760321179,14488,0,0,0,0,0
150,1780760321230,14590,0,0,0,0,0
151,1780760321281,11896,0,0,0,0,0
152,1780760321331,13338,0,0,0,0,0
153,1780760321382,13266,0,0,0,0,0
154,1780760321433,13250,0,0,0,0,0
155,1780760321481,12720,0,0,0,0,0
156,1780760321530,14428,0,0,0,0,0
157,1780760321581,11958,0,0,0,0,0
158,1780760321629,11734,0,0,0,0,0
159,1780760321678,13942,0,0,0,0,0
160,1780760321728,12167,0,0,0,0,0
161,1780760321778,13340,0,0,0,0,0
162,1780760321827,14358,0,0,0,0,0
163,1780760321877,12559,0,0,0,0,0
164,1780760321927,14232,0,0,0,0,0
165,1780760321977,14319,0,0,0,0,0
166,1780760322027,12330,0,0,0,0,0
167,1780760322078,13330,0,0,0,0,0
168,1780760322129,13309,0,0,0,0,0
169,1780760322178,14498,0,0,0,0,0
170,1780760322229,14446,0,0,0,0,0
171,1780760322280,11966,0,0,0,0,0
172,1780760322329,13372,0,0,0,0,0
173,1780760322379,14634,0,0,0,0,0
174,1780760322431,14189,0,0,0,0,0
175,1780760322481,14643,0,0,0,0,0
176,1780760322532,11720,0,0,0,0,0
177,1780760322582,13340,0,0,0,0,0
178,1780760322631,11754,0,0,0,0,0
179,1780760322681,13312,0,0,0,0,0
180,1780760322732,13218,0,0,0,0,0
181,1780760322782,14262,0,0,0,0,0
182,1780760322831,13266,0,0,0,0,0
183,1780760322879,12497,0,0,0,0,0
184,1780760322929,13338,0,0,0,0,0
185,1780760322981,13201,0,0,0,0,0
186,1780760323031,13331,0,0,0,0,0
187,1780760323080,12293,0,0,0,0,0
188,1780760323130,14221,0,0,0,0,0
189,1780760323180,14334,0,0,0,0,0
190,1780760323231,12296,0,0,0,0,0
191,1780760323281,13261,0,0,0,0,0
192,1780760323331,13672,0,0,0,0,0
193,1780760323383,13227,0,0,0,0,0
194,1780760323432,12140,0,0,0,0,0
195,1780760323481,13734,0,0,0,0,0
196,1780760323532,13568,0,0,0,0,0
197,1780760323583,13382,0,0,0,0,0
198,1780760323632,13245,1,0,0,0,0
199,1780760323682,14110,0,0,0,0,0
200,1780760323731,12733,0,0,0,0,0
201,1780760323781,14155,0,0,0,0,0
202,1780760323831,14498,0,0,0,0,0
203,1780760323882,11660,0,0,0,0,0
204,1780760323932,13370,0,0,0,0,0
205,1780760323982,13678,0,0,0,0,0
206,1780760324032,12267,0,0,0,0,0
207,1780760324082,13291,0,0,0,0,0
208,1780760324132,13762,0,0,0,0,0
209,1780760324182,12127,0,0,0,0,0
210,1780760324231,14201,0,0,0,0,0
211,1780760324282,13651,0,0,0,0,0
212,1780760324334,13336,0,0,0,0,0
213,1780760324385,13163,0,0,0,0,0
214,1780760324435,13336,0,0,0,0,0
